County,Median_Income,Age-Adjusted Death Rate,Average Deaths per Year
"St. Tammany Parish, Louisiana",42353.0,51.5,135
"Stanislaus County, California",27144.0,42.1,200
"Stanly County, North Carolina",50956.5,55.8,43
"Stark County, Ohio",43556.0,51.9,258
"Starr County, Texas",23860.285714285714,25.4,13
"Stearns County, Minnesota",66089.0,35.2,55
"Stephenson County, Illinois",47354.5,52.6,36
"Steuben County, Indiana",42149.0,46.7,20
"Steuben County, New York",51435.5,60,78
"Stoddard County, Missouri",40753.0,71.2,30
"Stokes County, North Carolina",45724.0,65.5,41
"Stone County, Missouri",46085.0,50,28
"Story County, Iowa",53150.0,41,32
"Strafford County, New Hampshire",44850.0,53.3,68
"Stutsman County, North Dakota",60571.0,51.2,16
"Suffolk County, New York",96121.75,43.8,751
"Sullivan County, Missouri",32801.0,54.6,5
"Sullivan County, New York",54694.5,51.6,51
"Summit County, Colorado",61792.0,21.6,3
"Summit County, Ohio",80282.8,52.3,352
"Summit County, Utah",71109.0,14.4,4
"Sumter County, Alabama",6190.0,51,9
"Sumter County, Georgia",26115.0,48.6,17
"Sumter County, South Carolina",30924.0,49,57
"Sunflower County, Mississippi",29298.0,59.8,17
"Surry County, North Carolina",23364.0,67.8,68
"Surry County, Virginia",36660.0,53.7,5
"Susquehanna County, Pennsylvania",40336.0,43.2,27
"Sussex County, Delaware",59193.333333333336,53.1,171
"Sussex County, New Jersey",78443.33333333333,45.2,74
"Sussex County, Virginia",49267.0,69.2,10
"Swift County, Minnesota",45301.0,56.1,8
"Talbot County, Maryland",53783.0,40,28
"Talladega County, Alabama",41712.0,61,61
"Tallapoosa County, Alabama",50493.0,54.5,32
"Tama County, Iowa",54417.5,39.3,10
"Taney County, Missouri",29418.0,52.4,38
"Tangipahoa Parish, Louisiana",44838.0,62.4,77
"Taos County, New Mexico",18868.0,27.5,13
"Tarrant County, Texas",68175.0,44.4,654
"Taylor County, Georgia",28923.0,43.1,5
"Taylor County, Kentucky",27470.0,81.6,26
"Tazewell County, Illinois",48969.333333333336,60.1,104
"Tehama County, California",40412.5,49.9,40
"Terrebonne Parish, Louisiana",47871.0,57.1,64
"Terrell County, Georgia",22024.0,53.7,6
"Terry County, Texas",43119.0,52.9,8
"Teton County, Montana",60066.0,55.7,5
"Tioga County, New York",55439.5,46.2,31
"Tioga County, Pennsylvania",40906.5,44.5,27
"Tipton County, Indiana",47981.0,43.6,10
"Tipton County, Tennessee",33438.0,74.6,45
"Tishomingo County, Mississippi",22070.0,56.2,16
"Todd County, Kentucky",28681.0,65.1,9
"Todd County, Minnesota",34918.0,38,13
"Tompkins County, New York",79328.0,42.6,40
"Toole County, Montana",43746.0,48.7,3
"Transylvania County, North Carolina",21300.0,37.2,23
"Travis County, Texas",102947.33333333333,32.6,230
"Trempealeau County, Wisconsin",50391.5,47.1,18
"Tulare County, California",31176.333333333332,40.7,145
"Tulsa County, Oklahoma",69900.0,52.6,328
"Tunica County, Mississippi",34512.0,56.6,5
"Turner County, South Dakota",51253.0,35.7,4
"Tuscaloosa County, Alabama",46479.0,54.4,100
"Tuscarawas County, Ohio",35365.0,45.3,56
"Tuscola County, Michigan",43494.5,52.8,39
"Twin Falls County, Idaho",40808.666666666664,42,37
"Tyler County, Texas",42150.0,60.6,19
"Uinta County, Wyoming",83387.0,22.1,4
"Ulster County, New York",48930.25,48.3,111
"Umatilla County, Oregon",33550.0,45.1,37
"Unicoi County, Tennessee",23290.0,70.8,20
"Union County, Arkansas",32937.0,71.6,38
"Union County, Illinois",34614.0,74.4,18
"Union County, New Jersey",115335.0,35.8,207
"Union County, North Carolina",56957.0,46.5,80
"Union County, Ohio",37468.0,54.5,26
"Union County, Oregon",40609.0,41.7,15
"Union County, Pennsylvania",48693.0,36.8,20
"Union County, South Carolina",20403.0,67.7,26
"Union County, South Dakota",50021.0,44,8
"Union Parish, Louisiana",38723.0,73.6,22
"Upson County, Georgia",45966.0,56.5,20
"Utah County, Utah",74779.25,12.4,37
"Uvalde County, Texas",32444.0,32.7,10
"Valdez-Cordova Census Area, Alaska",38571.0,60.8,4
"Valencia County, New Mexico",33877.0,41.9,34
"Van Buren County, Arkansas",18751.0,57.5,17
"Van Buren County, Michigan",33068.0,58.9,53
"Van Buren County, Tennessee",29665.0,53,4
"Venango County, Pennsylvania",38312.75,56.5,46
"Ventura County, California",48204.0,30.3,250
"Vermilion County, Illinois",37693.5,64.8,70
"Vernon County, Missouri",29774.0,61.9,17
"Vernon County, Wisconsin",39657.0,43.5,19
"Vernon Parish, Louisiana",37674.0,72.1,30
"Vigo County, Indiana",39998.0,65,77
"Volusia County, Florida",61292.0,54.1,439
"Wabash County, Illinois",42943.0,59.7,10
"Wabasha County, Minnesota",62909.0,48.6,14
"Wake County, North Carolina",93114.0,38.8,274
"Walker County, Alabama",39657.0,79.8,71
"Walker County, Georgia",28819.0,76.4,65
"Walla Walla County, Washington",46473.0,41.6,30
"Waller County, Texas",31814.5,36.9,15
"Wallowa County, Oregon",41197.5,35.5,4
"Walsh County, North Dakota",8188.0,42.8,8
"Walworth County, Wisconsin",57494.0,46.2,54
"Ward County, North Dakota",66325.0,44.2,29
"Ward County, Texas",32177.0,57.7,7
"Warren County, Indiana",40436.0,53.6,6
"Warren County, Kentucky",35052.0,65.5,70
"Warren County, New Jersey",52028.0,45.6,59
"Warren County, Pennsylvania",35978.0,48.3,31
"Warren County, Tennessee",46356.0,64.4,33
"Warrick County, Indiana",44952.0,46.7,32
"Wasatch County, Utah",84153.0,23.1,4
"Wasco County, Oregon",38926.5,51.7,18
"Washburn County, Wisconsin",57419.0,53.8,14
"Washington County, Alabama",48713.0,65.3,14
"Washington County, Arkansas",99636.0,52.7,91
"Washington County, Florida",26469.0,67.5,21
"Washington County, Georgia",46113.0,49.4,12
"Washington County, Idaho",27108.0,54.4,8
"Washington County, Illinois",56683.0,43.4,9
"Washington County, Iowa",42248.0,39.6,12
"Washington County, Kansas",45616.0,42.7,4
"Washington County, Kentucky",50497.0,60.6,9
"Washington County, Maryland",64680.5,53.5,94
"Washington County, Minnesota",69476.0,40.2,91
"Washington County, Mississippi",16126.0,63,34
"Washington County, Missouri",26092.0,81.1,24
"Washington County, New York",39234.0,63.1,50
"Washington County, Ohio",28161.0,55.5,49
"Washington County, Oregon",67175.5,35.1,167
"Washington County, Pennsylvania",40252.5,51.8,156
"Washington County, Rhode Island",80369.0,45.9,74
"Washington County, Tennessee",41584.333333333336,55.3,84
"Washington County, Utah",51494.0,22.5,41
"Washington County, Wisconsin",62440.0,39.5,61
"Washington Parish, Louisiana",22330.0,67.4,39
"Washoe County, Nevada",61170.0,41.7,182
"Washtenaw County, Michigan",65561.0,39.3,123
"Watonwan County, Minnesota",48710.0,46.5,8
"Waukesha County, Wisconsin",73210.0,39.8,191
"Wayne County, Illinois",38849.0,66.4,17
"Wayne County, Indiana",36324.5,65,58
"Wayne County, Michigan",60069.0,57.7,1136
"Wayne County, Mississippi",22419.5,55.6,14
"Wayne County, New York",34819.25,54.1,62
"Wayne County, Ohio",74798.0,44.3,62
"Wayne County, West Virginia",31948.0,64.2,36
"Weakley County, Tennessee",27930.0,61.2,26
"Webster County, Iowa",53333.0,46,23
"Weld County, Colorado",66101.5,35.2,76
"Wells County, North Dakota",35054.0,45.7,4
"Westchester County, New York",137483.5,33.9,397
"Westmoreland County, Pennsylvania",45857.57142857143,48.5,271
"Whatcom County, Washington",63865.0,42.2,95
"Wheeler County, Texas",42089.0,59.1,4
"White County, Arkansas",33507.0,69.6,61
"White County, Illinois",34465.0,69.5,16
"Whiteside County, Illinois",57255.5,56.7,45
"Whitley County, Indiana",37091.0,52.1,21
"Wichita County, Texas",35333.0,55.8,79
"Wicomico County, Maryland",52552.0,59.7,65
"Wilkes County, North Carolina",29610.5,58.5,57
"Wilkinson County, Georgia",36614.0,56.9,8
"Will County, Illinois",45947.0,50.3,281
"Williams County, Ohio",34952.5,48.2,23
"Williamson County, Illinois",34643.0,69.5,60
"Williamson County, Tennessee",96484.0,36.5,60
"Williamson County, Texas",63938.25,35.5,122
"Wilson County, North Carolina",49010.0,55.8,55
"Wilson County, Tennessee",75879.0,55.3,68
"Windham County, Connecticut",51622.0,47.5,62
"Windsor County, Vermont",32557.333333333332,45.7,39
"Winnebago County, Illinois",50058.5,57.7,198
"Winnebago County, Wisconsin",66738.0,44.7,85
"Winneshiek County, Iowa",38036.0,22.2,7
"Winona County, Minnesota",60200.0,37.8,22
"Wise County, Texas",54874.333333333336,55.2,35
"Wood County, Ohio",52207.0,45,61
"Wood County, West Virginia",44990.0,60.5,71
"Wood County, Wisconsin",56279.5,40.3,42
"Woodbury County, Iowa",59668.0,51.5,57
"Woodford County, Illinois",69256.0,45.8,22
"Woodruff County, Arkansas",23855.0,64.9,7
"Woods County, Oklahoma",64406.0,45.1,5
"Worcester County, Massachusetts",48120.0,50.1,439
"Worth County, Iowa",56756.0,30.7,4
"Wright County, Minnesota",59192.5,42.5,44
"Wright County, Missouri",17140.0,69.4,18
"Wyoming County, West Virginia",29818.666666666668,80,24
"Yadkin County, North Carolina",36564.5,52.6,27
"Yakima County, Washington",53290.0,47.2,113
"Yankton County, South Dakota",41833.0,43.5,13
"Yavapai County, Arizona",36515.5,38.1,151
"Yellow Medicine County, Minnesota",53257.0,42.7,6
"Yellowstone County, Montana",29413.5,45,79
"York County, Nebraska",52399.25,28.2,5
"York County, Pennsylvania",54664.666666666664,46,240
"York County, South Carolina",39903.0,54,124
"Young County, Texas",36772.0,60.2,16
"Yuba County, California",46888.0,55.3,35
"Yuma County, Colorado",37453.0,40.3,5
